Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 109	 38.8430213928223	 163.07063293457	-1	 1135.5556640625	 2160	 0
 1	 110	 38.8737678527832	 162.91682434082	-1	 1074.96240234375	 2183	 0
 1	 111	 39.0019645690918	 162.856323242188	-1	 663.192993164063	 2191	 0
 1	 112	 38.3037109375	 162.498626708984	-1	 813.976013183594	 2206	 0
 1	 113	 38.8042869567871	 163.15283203125	-1	 930.156433105469	 2227	 0
 1	 114	 38.7782173156738	 162.439163208008	-1	 1102.4775390625	 2236	 0
 2	 1	 76.7384490966797	 102.784523010254	-1	 2083.9140625	 6	 0
 2	 2	 76.8476791381836	 101.920974731445	-1	 1808.16821289063	 34	 0
 2	 3	 76.8471221923828	 102.281585693359	-1	 2245.78979492188	 43	 0
 2	 4	 76.1940841674805	 102.952728271484	-1	 1746.15075683594	 70	 0
 2	 5	 76.2557754516602	 103.225364685059	-1	 2743.59399414063	 80	 0
 2	 6	 75.9584732055664	 103.173095703125	-1	 1686.94409179688	 104	 0
 2	 7	 76.8181991577148	 102.775177001953	-1	 1974.03405761719	 118	 0
 2	 8	 76.5107498168945	 102.875457763672	-1	 2048.53369140625	 149	 0
 2	 9	 76.4095458984375	 103.138832092285	-1	 1547.87939453125	 162	 0
 2	 10	 76.116569519043	 103.025657653809	-1	 2839.22924804688	 185	 0
 2	 11	 76.8714828491211	 102.717002868652	-1	 2190.9775390625	 202	 0
 2	 12	 76.3222274780273	 102.505401611328	-1	 2002.91149902344	 217	 0
 2	 13	 76.5062103271484	 102.607734680176	-1	 2512.32861328125	 248	 0
 2	 14	 76.3447647094727	 102.792816162109	-1	 986.669616699219	 276	 0
 2	 15	 76.2540588378906	 102.739883422852	-1	 1887.39050292969	 295	 0
 2	 16	 76.2529754638672	 103.223342895508	-1	 453.734313964844	 306	 0
 2	 17	 76.1549987792969	 103.861167907715	-1	 880.060302734375	 327	 0
 2	 18	 76.231330871582	 103.206344604492	-1	 1300.90051269531	 344	 0
 2	 19	 76.5360717773438	 102.994247436523	-1	 1047.29638671875	 355	 0
 2	 20	 76.5997695922852	 102.809524536133	-1	 1361.0078125	 373	 0
 2	 21	 76.1513137817383	 102.79264831543	-1	 1024.73999023438	 401	 0
