<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
9	18	1440.0	2880.0	1402.0783874541905	0.0007132268844224464	-3.146772294862553
9	19	1440.0	3040.0			
9	26	1440.0	4160.0			
9	27	1440.0	4320.0			
9	54	1440.0	8640.0			
9	55	1440.0	8800.0	1198.9141788914608	0.0008340880586837495	-3.0787880963867273
9	108	1440.0	17280.0			
9	151	1440.0	24160.0	282.9002230501833	0.00353481516987921	-2.4516332898727757
9	152	1440.0	24320.0	370.82067041490205	0.002696721298953278	-2.5691639347414053
9	153	1440.0	24480.0	507.96531764972565	0.001968638340560021	-2.705834060969868
9	165	1440.0	26400.0	2181.547617828227	0.000458390177609563	-3.3387646970085316
9	168	1440.0	26880.0	231.6032504351743	0.004317728693880744	-2.3647446502028684
9	169	1440.0	27040.0	583.4493038752742	0.001713944970639254	-2.766003126013387
9	179	1440.0	28640.0	1074.3420797983913	0.0009308022265940265	-3.031142586497961
9	192	1440.0	30720.0	594.3292995986137	0.001682568906960098	-2.774027140893143
9	193	1440.0	30880.0	2182.231074844079	0.00045824661353585124	-3.33890073581065
9	198	1440.0	31680.0	2050.4444205616282	0.0004876991494975974	-3.3118480017773537
9	199	1440.0	31840.0	578.5354077747937	0.0017285026751366437	-2.7623299439803053
9	200	1440.0	32000.0	871.5629889216573	0.0011473640031884002	-2.9402987795728697
9	208	1440.0	33280.0	371.53799142706015	0.002691514792764655	-2.5700032289270944
9	209	1440.0	33440.0	279.63541516537106	0.0035760849512162796	-2.446592172928065
10	14	1600.0	2240.0			
10	15	1600.0	2400.0			
10	16	1600.0	2560.0	266.977567346783	0.003745633050514233	-2.4264747715263946
10	17	1600.0	2720.0	1510.1036801535292	0.00066220618699395	-3.1790067659506374
10	18	1600.0	2880.0	827.3101870296449	0.001208736475964809	-2.917668372016875
10	19	1600.0	3040.0			
10	57	1600.0	9120.0			
10	58	1600.0	9280.0			
10	65	1600.0	10400.0	675.5597880165021	0.0014802538838732252	-2.8296637907475684
10	66	1600.0	10560.0	589.6786900017431	0.0016958387965436634	-2.770615433387647
10	107	1600.0	17120.0	1396.773659287743	0.0007159356087155382	-3.145126036403127
10	108	1600.0	17280.0	296.78520159861273	0.0033694402369578063	-2.472442242212481
10	150	1600.0	24000.0			
10	151	1600.0	24160.0	1500.3018452975266	0.0006665325401913966	-3.176178643428525
10	152	1600.0	24320.0	1217.4566434915823	0.0008213844865407843	-3.085453503909146
10	153	1600.0	24480.0	1601.689972837272	0.0006243405508923653	-3.204578456744411
10	165	1600.0	26400.0			
10	168	1600.0	26880.0	939.767654530881	0.0010640928054702905	-2.973020493144374
10	169	1600.0	27040.0	214.52461192783895	0.004661469800660339	-2.331477125011529
10	192	1600.0	30720.0	57.653465215107836	0.017345011202170628	-1.760825415335365
10	193	1600.0	30880.0	841.0336093068888	0.0011890131249619362	-2.924813351380397
